    0    1       8071.000
    1    1       7289.000
    1    2      13136.000
    1    3      14950.000
    2    3      14931.000
    1    4      25840.000
    2    4       2424.000
    3    4      25120.000
    2    5      11390.000
    3    5      11680.000
    2    6      17592.000
    3    6      14085.000
    4    6      18374.000
    2    7      26110.000
    3    7      14907.000
    4    7      15768.000
    5    7      27870.000
    2    8      31598.000
    3    8      20945.000
    4    8       4941.000
    5    8      22920.000
    6    8      35094.000
    2    9      40810.000
    3    9      24954.000
    4    9      11347.000
    5    9      12415.000
    6    9      28913.000
    3   10      33840.000
    4   10      12607.000
    5   10      12050.000
    6   10      15699.000
    7   10      39700.000
    3   11      40900.000
    4   11      20174.000
    5   11       8668.000
    6   11      10650.000
    7   11      24890.000
    4   12      25077.000
    5   12      13369.000
    6   12          0.000
    7   12      17338.000
    8   12      32060.002
    4   13      35000.000
    5   13      16562.000
    6   13       3125.000
    7   13       5345.000
    8   13      23113.000
    4   14      40100.000
    5   14      23664.000
    6   14       3020.000
    7   14       2863.000
    8   14       8006.000
    9   14      33610.000
    5   15      28970.000
    6   15       9873.000
    7   15        101.000
    8   15       2855.000
    9   15      16770.000
    5   16      37140.000
    6   16      13694.000
    7   16       5682.000
    8   16      -4737.000
    9   16      10680.000
   10   16      23989.000
    5   17      43310.000
    6   17      21035.000
    7   17       7871.000
    8   17       -809.000
    9   17       1951.000
   10   17      16480.000
    5   18      52280.000
    6   18      24920.000
    7   18      13117.000
    8   18       -782.000
    9   18        873.000
   10   18       5319.000
   11   18      25320.000
    5   19      59360.000
    6   19      32630.002
    7   19      15871.000
    8   19       3332.000
    9   19      -1487.000
   10   19       1751.000
   11   19      12928.000
    6   20      37070.000
    7   20      21880.000
    8   20       3796.000
    9   20        -17.000
   10   20      -7047.000
   11   20       6839.000
   12   20      17570.000
    7   21      25150.000
    8   21       8066.000
    9   21        -47.000
   10   21      -5737.000
   11   21      -2189.000
   12   21      10913.000
    7   22      31730.000
    8   22       9440.000
    9   22       2830.000
   10   22      -8027.000
   11   22      -5185.000
   12   22       -397.000
   13   22      18090.000
    8   23      14540.000
    9   23       3350.000
   10   23      -5156.000
   11   23      -9532.000
   12   23      -5473.000
   13   23       6767.000
   14   23      23530.000
    8   24      18790.000
